nom_iris,code_iris,DISP_MED21,dist_to_green
Chaussée d'Antin 3,751093403,39500,599.33
Bonne Nouvelle 5,751020805,30740,96.46
Arts et Métiers 1,751030901,32970,480.12
Enfants Rouges 4,751031004,39040,121.44
Saint-Germain des Prés 1,751062401,37130,238.69
École Militaire 5,751072705,57720,94.33
Gros Caillou 1,751072801,43650,407.07
Gros Caillou 4,751072804,39250,380.2
Hôpital Saint-Louis 4,751104004,23760,344.45
Hôpital Saint-Louis 8,751104008,26480,176.16
Hôpital Saint-Louis 10,751104010,23400,252.73
Folie Méricourt 9,751114109,24950,333.67
Saint-Ambroise 7,751114207,37250,193.92
Saint-Ambroise 9,751114209,32970,261.33
Saint-Ambroise 10,751114210,30080,156.43
Saint-Ambroise 13,751114213,32450,223.69
Roquette 11,751114311,30420,506.4
Roquette 17,751114317,33380,238.12
Roquette 19,751114319,24760,0.0
Bel-Air 1,751124501,21620,0.0
Picpus 20,751124620,30370,303.67
Picpus 24,751124624,40340,116.94
Bercy 1,751124701,28700,127.41
Salpêtrière 4,751134904,20120,374.76
Salpêtrière 5,751134905,33160,439.05
Gare 23,751135023,27790,344.04
Maison Blanche 6,751135106,24440,341.48
Petit Montrouge 9,751145509,36130,827.09
Petit Montrouge 11,751145511,36790,498.82
Plaisance 7,751145607,30100,395.7
Saint-Lambert 4,751155704,19100,0.0
Saint-Lambert 17,751155717,32000,270.97
Saint-Lambert 19,751155719,33630,328.18
Grenelle 1,751155901,34140,154.05
Grenelle 10,751155910,34620,360.89
Javel 5,751156005,36540,163.18
Javel 16,751156016,29370,412.65
Javel 17,751156017,31410,223.95
Javel 18,751156018,29910,218.79
Javel 20,751156020,38550,171.81
Auteuil 12,751166112,51290,717.49
Auteuil 20,751166120,48390,360.48
Muette 10,751166210,52170,395.73
Muette 16,751166216,48010,670.62
Porte Dauphine 5,751166305,36440,42.62
Chaillot 4,751166404,39530,521.55
Chaillot 6,751166406,44670,321.6
Ternes 11,751176511,41480,507.67
Plaine Monceau 10,751176610,51030,242.47
Batignolles 5,751176705,39040,432.08
Épinettes 5,751176805,29450,473.85
Épinettes 13,751176813,21160,111.69
Épinettes 17,751176817,17400,0.0
Grandes Carrières 17,751186917,32740,216.55
Grandes Carrières 23,751186923,23760,261.78
Grandes Carrières 27,751186927,14900,25.32
Clignancourt 3,751187003,31900,331.33
Clignancourt 4,751187004,32420,83.68
Clignancourt 9,751187009,31020,41.84
Clignancourt 20,751187020,26120,256.07
Clignancourt 22,751187022,30720,362.93
Goutte d'Or 5,751187105,19650,261.4
Goutte d'Or 9,751187109,19450,588.45
Chapelle 6,751187206,20380,108.14
Pont de Flandre 1,751197401,19020,364.24
Pont de Flandre 6,751197406,20440,510.79
Pont de Flandre 8,751197408,16940,152.13
Amérique 9,751197509,17750,10.16
Amérique 15,751197515,33030,84.19
Amérique 16,751197516,16230,249.31
Amérique 18,751197518,16200,152.48
Amérique 19,751197519,18900,167.14
Amérique 20,751197520,24960,112.07
Belleville 11,751207711,20790,224.15
Belleville 14,751207714,28460,180.49
Saint-Fargeau 3,751207803,16110,209.7
Saint-Fargeau 4,751207804,16720,154.33
Saint-Fargeau 11,751207811,24470,180.76
Père Lachaise 3,751207903,28360,308.73
Charonne 4,751208004,36280,148.69
Charonne 12,751208012,20300,329.22
Les Halles 4,751010204,31480,82.06
Bonne Nouvelle 2,751020802,33530,40.44
Jardin des Plantes 3,751051803,34480,87.75
Jardin des Plantes 4,751051804,30860,115.11
Val de Grâce 1,751051901,36270,342.71
Val de Grâce 8,751051908,34730,322.98
Sorbonne 3,751052003,31260,40.52
Odéon 1,751062201,48080,132.63
Gros Caillou 10,751072810,40690,389.5
Gros Caillou 11,751072811,57010,131.75
Faubourg du Roule 2,751083002,42570,357.75
Europe 3,751083203,56150,0.0
Saint-Georges 1,751093301,41910,151.06
Saint-Georges 6,751093306,38810,6.73
Saint-Georges 7,751093307,38460,522.35
Rochechouart 1,751093601,37160,38.36
Porte Saint-Denis 5,751103805,30920,362.81
Porte Saint-Martin 4,751103904,33220,639.72
Hôpital Saint-Louis 2,751104002,22990,388.33
Hôpital Saint-Louis 5,751104005,20240,512.3
Folie Méricourt 7,751114107,34730,33.58
Folie Méricourt 11,751114111,19340,245.79
Saint-Ambroise 4,751114204,28690,0.0
Saint-Ambroise 6,751114206,33260,114.41
Roquette 2,751114302,30420,261.36
Sainte-Marguerite 7,751114407,31470,394.24
Picpus 1,751124601,29040,107.11
Picpus 15,751124615,31470,103.33
Salpêtrière 1,751134901,25830,533.11
Gare 11,751135011,26490,477.74
Gare 16,751135016,21980,114.16
Maison Blanche 14,751135114,28620,417.04
Maison Blanche 16,751135116,32130,296.13
Croulebarbe 4,751135204,28710,298.31
Montparnasse 10,751145310,40240,326.07
Parc de Montsouris 2,751145402,37270,0.0
Petit Montrouge 16,751145516,35540,218.33
Plaisance 19,751145619,25990,322.68
Saint-Lambert 5,751155705,26600,99.74
